depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,3.7642163125794084,0.9440565355138182,0.32721382289416845,0.519438444924406,0.7405507559395248,0.9932505399568035,0.31641468682505397,0.4406047516198704,,,62.54673754319259,0.2712445230772377,0.3596112311015119,0.7842872570194385,0.21706263498920086,,926,16.616137955242213
2,5.159711058917365,0.9209990382966934,0.3105590062111801,0.5559006211180124,0.5950323974082073,0.9508639308855291,0.3833693304535637,0.39740820734341253,,,63.25436992521677,0.25723716437205124,0.36645962732919257,0.6849352051835853,0.08747300215982722,,926,12.25928529774865
3,5.4596413236967525,0.9159755760468311,0.23943661971830985,0.676056338028169,0.5543478260869565,0.8885869565217391,0.0,0.5496894409937888,,,62.97991626455177,0.25973428443351887,0.3295774647887324,0.593167701863354,0.0,,644,11.535540987133516
4,3.6609789489020765,0.9448838257453811,,,0.530281690140845,0.826056338028169,0.0,0.0,,,60.90881306822871,0.28564533771763384,,0.5035211267605634,0.0,,355,16.63730218566135
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
