depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,semantic_gain_state,semantic_gain_dist,semantic_gain_reach,n_samples,dynamics_gain
1,0.8462274238467217,0.8769205898046494,0.5,0.15,0.4875,0.5625,0.2,0.45,0.75,0.75,5.446681714057922,0.28723630383610727,0.5,0.6,0.35,0.5,-0.11249999999999999,-0.14999999999999997,0.25,20,6.436427797741151
2,0.8855497181415558,0.8641697973012924,0.5294117647058824,0.5882352941176471,0.4625,0.5125,0.55,0.65,1.0,0.95,5.61424069404602,0.24624466970562936,0.4117647058823529,0.4875,0.25,0.7,-0.024999999999999967,0.30000000000000004,0.30000000000000004,20,6.339836803097011
3,1.2845268705311943,0.8214430107789881,0.5,0.6666666666666666,0.5,0.47058823529411764,0.35294117647058826,0.058823529411764705,1.0,1.0,5.673072871039896,0.24148888798320994,0.3333333333333333,0.45588235294117646,0.0,0.7058823529411765,0.04411764705882354,0.35294117647058826,0.2941176470588235,17,4.416468819133299
4,2.190103073914846,0.7719624042510986,,,0.2916666666666667,0.4166666666666667,0.0,0.0,1.0,1.0,5.735038121541341,0.23732860138018927,,0.20833333333333334,0.0,0.8333333333333334,0.08333333333333334,0.0,0.16666666666666663,6,2.618615621268393
5,,,,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,,,,0,
