depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,83.78611297607422,0.5871391892433167,0.2,0.3,0.7230769230769231,0.7923076923076924,0.3,0.3,0.45,0.75,94.0611530303955,0.5509622007608413,0.4,0.7192307692307692,0.45,0.5,20,1.122634165607556
2,76.72155876159668,0.6170105874538422,0.11764705882352941,0.47058823529411764,0.7115384615384615,0.7884615384615385,0.05,0.6,0.25,1.0,88.96464118957519,0.5654343158006668,0.23529411764705882,0.7576923076923077,0.2,0.7,20,1.1595781241361696
3,79.14453843060662,0.6252629371250377,0.5,0.5,0.6787330316742082,0.8144796380090498,0.0,0.23529411764705882,0.23529411764705882,1.0,86.60384144502528,0.5773611980326036,0.3333333333333333,0.746606334841629,0.0,0.7647058823529411,17,1.0942491189200494
4,92.11471684773763,0.6062142550945282,,,0.7051282051282052,0.8846153846153846,0.0,0.0,0.16666666666666666,1.0,88.3986078898112,0.5720800956090292,,0.8076923076923078,0.0,0.8333333333333334,6,0.9596578148954307
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
