probe,accuracy,f1,auc,exact_accuracy
A:remaining_operands,0.7606837606837608,0.0,,0.015873015873015872
B:distance_to_solution,0.42857142857142855,0.37273291925465835,0.7474428117618537,
C:next_operation,0.3968253968253968,0.38866213151927437,0.5601751198287296,
D:reachable_within_2,0.6825396825396826,0.7916666666666666,0.8347826086956521,
