depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,81.08554420471191,0.6030776470899581,0.5,0.3,0.676923076923077,0.7923076923076924,0.3,0.3,0.65,0.75,94.0611530303955,0.5509622007608413,0.4,0.7192307692307692,0.45,0.5,20,1.160023700314878
2,73.92908554077148,0.6385842740535737,0.29411764705882354,0.47058823529411764,0.7192307692307692,0.7884615384615385,0.5,0.6,0.95,1.0,88.96464118957519,0.5654343158006668,0.23529411764705882,0.7576923076923077,0.2,0.7,20,1.2033780823720819
3,78.44790425020106,0.6433194805594051,0.5,0.5,0.7149321266968326,0.8144796380090498,0.35294117647058826,0.23529411764705882,1.0,1.0,86.60384144502528,0.5773611980326036,0.3333333333333333,0.746606334841629,0.0,0.7647058823529411,17,1.1039662853045984
4,94.99371973673503,0.6194253961245219,,,0.6923076923076924,0.8846153846153846,0.0,0.0,1.0,1.0,88.3986078898112,0.5720800956090292,,0.8076923076923078,0.0,0.8333333333333334,6,0.930573180361802
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
