depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,83.82013473510742,0.5856391251087188,0.3,0.35,0.7423076923076923,0.7576923076923078,0.3,0.0,0.6,0.1,94.22574577331542,0.5488214433193207,0.3,0.7346153846153847,0.0,0.4,20,1.1241421416356863
2,78.31098861694336,0.6089223116636276,0.25,0.35,0.6692307692307693,0.7769230769230769,0.55,0.0,0.75,0.0,90.639693069458,0.5572324097156525,0.5,0.7461538461538462,0.55,0.4,20,1.1574326243385875
3,81.5147258758545,0.6100232779979706,0.4,0.45,0.6461538461538462,0.8346153846153846,0.0,0.05,0.05,1.0,89.24282035827636,0.5602042853832245,0.4,0.7576923076923077,0.45,0.6,20,1.0948061150839374
4,94.1173225402832,0.58828164935112,0.4,0.4,0.6615384615384616,0.8653846153846153,0.0,0.95,0.1,1.0,90.55145568847657,0.553006362915039,0.3,0.7615384615384616,0.0,0.6,20,0.9621125340632124
5,109.87964477539063,0.5782923996448517,,,0.6884615384615385,0.8923076923076924,0.0,0.0,0.25,1.0,86.20294418334962,0.5719096243381501,,0.7730769230769231,0.0,0.6,20,0.7845215040470916
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
