depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples
1,0.0,0.9999999284744263,0.3,0.3,0.7923076923076924,0.7923076923076924,0.3,0.3,0.75,0.75,94.06114692687989,0.5509621515870095,0.4,0.7192307692307692,0.45,0.5,20
2,0.0,0.999999925494194,0.47058823529411764,0.47058823529411764,0.7884615384615385,0.7884615384615385,0.6,0.6,1.0,1.0,88.96463317871094,0.5654342710971832,0.23529411764705882,0.7576923076923077,0.2,0.7,20
3,0.0,0.9999999824692222,0.5,0.5,0.8144796380090498,0.8144796380090498,0.23529411764705882,0.23529411764705882,1.0,1.0,86.60384009866154,0.5773611734895145,0.3333333333333333,0.746606334841629,0.0,0.7647058823529411,17
4,0.0,1.0000000099341075,,,0.8846153846153846,0.8846153846153846,0.0,0.0,1.0,1.0,88.39860407511394,0.5720800459384918,,0.8076923076923078,0.0,0.8333333333333334,6
5,,,,,,,,,,,,,,,,,0
6,,,,,,,,,,,,,,,,,0
7,,,,,,,,,,,,,,,,,0
8,,,,,,,,,,,,,,,,,0
