depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,2.9043199167661142,0.9570249729848834,0.3292433537832311,0.35787321063394684,0.5424335378323109,0.9913087934560327,0.0,0.0,,,62.320005834224524,0.2729618703234171,0.3210633946830266,0.8113496932515337,0.36809815950920244,,489,21.457693236362285
2,3.8869542217449666,0.9400627386350573,0.33537832310838445,0.3967280163599182,0.35685071574642124,0.9642126789366053,1.0,0.002044989775051125,,,62.839182418792035,0.25749837518774416,0.3210633946830266,0.7050102249488752,0.4294478527607362,,489,16.166689606800077
3,5.916257752475075,0.9073500435776506,0.33537832310838445,0.48466257668711654,0.30214723926380366,0.9166666666666666,0.0,0.014314928425357873,,,63.06922330641795,0.2532292188646116,0.3067484662576687,0.6119631901840491,0.20245398773006135,,489,10.660323796750209
4,7.4254905602195755,0.884452203909556,0.41513292433537835,0.588957055214724,0.2765848670756646,0.8583844580777096,0.0,0.9918200408997955,,,62.57257383537682,0.2592891488826104,0.3374233128834356,0.5184049079754601,0.0,,489,8.426725928465327
5,3.671713303934577,0.9456225147276568,,,0.23773006134969324,0.8287321063394683,0.0,0.0,,,59.664993442153154,0.2997712168408318,,0.4263803680981595,0.0,,489,16.24990529032227
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
