depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples
1,0.0,1.0000008026673006,0.519438444924406,0.519438444924406,0.9932505399568035,0.9932505399568035,0.4406047516198704,0.4406047516198704,,,62.54673746080172,0.2712447095831321,0.3596112311015119,0.7842872570194385,0.21706263498920086,,926
2,0.0,1.000000763789109,0.5559006211180124,0.5559006211180124,0.9508639308855291,0.9508639308855291,0.39740820734341253,0.39740820734341253,,,63.25436978927184,0.25723733701471635,0.36645962732919257,0.6849352051835853,0.08747300215982722,,926
3,0.0,1.0000007391346166,0.676056338028169,0.676056338028169,0.8885869565217391,0.8885869565217391,0.5496894409937888,0.5496894409937888,,,62.97991603946093,0.2597344542928734,0.3295774647887324,0.593167701863354,0.0,,644
4,0.0,1.0000007296951723,,,0.826056338028169,0.826056338028169,0.0,0.0,,,60.90881307897433,0.2856455239611612,,0.5035211267605634,0.0,,355
5,,,,,,,,,,,,,,,,,0
6,,,,,,,,,,,,,,,,,0
7,,,,,,,,,,,,,,,,,0
8,,,,,,,,,,,,,,,,,0
