depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,4.135379135608673,0.43489155620336534,0.5,0.15,0.6,0.625,,,,,4.742670178413391,0.37037212401628494,0.35,0.575,,,20,1.1468525672955818
2,4.305238723754883,0.44756388664245605,0.4117647058823529,0.5882352941176471,0.4625,0.475,,,,,4.7876660346984865,0.35705743730068207,0.35294117647058826,0.4625,,,20,1.1120558793364301
3,5.011441875906551,0.44348840327823863,0.16666666666666666,0.5,0.38235294117647056,0.45588235294117646,,,,,4.809640688054702,0.35579852146260876,0.16666666666666666,0.4117647058823529,,,17,0.9597319109252676
