probe,accuracy,f1,auc,exact_accuracy
A:remaining_numbers,0.6071428571428572,0.0,,0.19047619047619047
B:distance_to_solution,0.4126984126984127,0.35097167325428197,0.7382150725402891,
C:next_operation,0.36507936507936506,0.35293956570552315,0.5353142601102298,
D:reachable_within_2,0.6666666666666666,0.7692307692307693,0.7858695652173913,
