depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples
1,0.0,1.0000000238418578,0.15,0.15,0.625,0.625,,,,,4.742670178413391,0.37037212401628494,0.35,0.575,,,20
2,0.0,0.9999999970197677,0.5882352941176471,0.5882352941176471,0.475,0.475,,,,,4.7876660346984865,0.35705743730068207,0.35294117647058826,0.4625,,,20
3,0.0,0.9999999684445998,0.5,0.5,0.45588235294117646,0.45588235294117646,,,,,4.809640688054702,0.35579852146260876,0.16666666666666666,0.4117647058823529,,,17
