depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,4.233787834644318,0.42619665116071703,0.25,0.15,0.6375,0.625,,,,,4.742670178413391,0.37037212401628494,0.35,0.575,,,20,1.1201955231683982
2,4.380148243904114,0.4389243915677071,0.29411764705882354,0.5882352941176471,0.5375,0.475,,,,,4.7876660346984865,0.35705743730068207,0.35294117647058826,0.4625,,,20,1.0930374425937566
3,5.0018306058995865,0.4366484985632055,0.3333333333333333,0.5,0.45588235294117646,0.45588235294117646,,,,,4.809640688054702,0.35579852146260876,0.16666666666666666,0.4117647058823529,,,17,0.9615760842403981
