probe,accuracy,f1,auc,exact_accuracy
A:remaining_numbers,0.9810540819841543,0.0,,0.9328281088529108
B:distance_to_solution,0.5308301756803306,0.5108244766308329,0.8092751801907395,
C:next_operation,0.5318635893902859,0.5313505534348061,0.7168747532198619,
D:reachable_within_2,0.7623148467102997,0.8154093097913323,0.8414447977218958,
