depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,3.443872306396052,0.9490472590800413,0.3783505154639175,0.5309278350515464,0.3971649484536082,0.9922680412371134,0.37628865979381443,0.4381443298969072,,,62.36666066277888,0.27479001968791805,0.4463917525773196,0.7989690721649485,0.2154639175257732,,970,18.109457934009296
2,4.929812493029329,0.9248345285961308,0.361198738170347,0.582018927444795,0.3538659793814433,0.9427835051546392,0.29690721649484536,0.4092783505154639,,,62.67226223896459,0.265598088564332,0.43217665615141954,0.6835051546391753,0.06701030927835051,,970,12.712909938782076
3,5.246430221040166,0.9192415399694293,0.3252279635258359,0.6747720364741642,0.3430599369085173,0.8698738170347003,0.501577287066246,0.5047318611987381,,,62.38873641799301,0.2678066673644522,0.3708206686930091,0.5871451104100947,0.0,,634,11.89165466602236
4,3.6155809019111933,0.9457359696231714,,,0.34498480243161095,0.8115501519756839,0.0,0.0,,,60.421969045621644,0.293968011090096,,0.4642857142857143,0.0,,329,16.711552219363323
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
