depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,2.7810896519533137,0.9590601327493019,0.33608247422680415,0.5309278350515464,0.7708762886597939,0.9922680412371134,0.37422680412371134,0.4381443298969072,,,62.36666066277888,0.27479001968791805,0.4463917525773196,0.7989690721649485,0.2154639175257732,,970,22.425260767474832
2,4.467817110376259,0.9320566369086197,0.3280757097791798,0.582018927444795,0.6368556701030927,0.9427835051546392,0.31443298969072164,0.4092783505154639,,,62.67226223896459,0.265598088564332,0.43217665615141954,0.6835051546391753,0.06701030927835051,,970,14.02749053747337
3,5.160231668678368,0.9206889220968782,0.3100303951367781,0.6747720364741642,0.6549684542586751,0.8698738170347003,0.5189274447949527,0.5047318611987381,,,62.38873641799301,0.2678066673644522,0.3708206686930091,0.5871451104100947,0.0,,634,12.09029757262273
4,3.0938788931420507,0.9541602781478394,,,0.7021276595744681,0.8115501519756839,0.0,0.0,,,60.421969045621644,0.293968011090096,,0.4642857142857143,0.0,,329,19.529519781641778
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
