depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples
1,0.0,1.0000007979648629,0.5309278350515464,0.5309278350515464,0.9922680412371134,0.9922680412371134,0.4381443298969072,0.4381443298969072,,,62.36666067064423,0.274790208763683,0.4463917525773196,0.7989690721649485,0.2154639175257732,,970
2,0.0,1.0000007657660652,0.582018927444795,0.582018927444795,0.9427835051546392,0.9427835051546392,0.4092783505154639,0.4092783505154639,,,62.67226197154252,0.265598267147836,0.43217665615141954,0.6835051546391753,0.06701030927835051,,970
3,0.0,1.0000007432718006,0.6747720364741642,0.6747720364741642,0.8698738170347003,0.8698738170347003,0.5047318611987381,0.5047318611987381,,,62.388736189351846,0.2678068439220592,0.3708206686930091,0.5871451104100947,0.0,,634
4,0.0,1.0000007246765321,,,0.8115501519756839,0.8115501519756839,0.0,0.0,,,60.421968999242345,0.2939682005477169,,0.4642857142857143,0.0,,329
5,,,,,,,,,,,,,,,,,0
6,,,,,,,,,,,,,,,,,0
7,,,,,,,,,,,,,,,,,0
8,,,,,,,,,,,,,,,,,0
