depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,2.804491463913975,0.9583656239701084,0.30522088353413657,0.41566265060240964,0.7530120481927711,0.9924698795180723,0.0,0.004016064257028112,,,62.20869524699138,0.27440595510135213,0.41365461847389556,0.785140562248996,0.4959839357429719,,498,22.181809446541276
2,4.446150023295697,0.9311004247531355,0.3293172690763052,0.46987951807228917,0.6335341365461847,0.9633534136546185,0.0,0.0,,,62.63457951679766,0.26015342828858806,0.39759036144578314,0.6807228915662651,0.3373493975903614,,498,14.087374287557202
3,6.154089804634033,0.9032878436477308,0.3313253012048193,0.5321285140562249,0.6681726907630522,0.8985943775100401,0.0,0.030120481927710843,,,62.84048283435255,0.25677046006223764,0.38755020080321284,0.5868473895582329,0.16666666666666666,,498,10.21117416697976
4,9.789853205163794,0.8498064966565634,0.3152610441767068,0.6807228915662651,0.7374497991967871,0.8604417670682731,1.0,0.9899598393574297,,,62.64176443781719,0.25843868261001196,0.3755020080321285,0.4899598393574297,0.0,,498,6.398641851419786
5,4.379844350508418,0.9382220763997381,,,0.7986947791164659,0.8087349397590361,0.0,0.0,,,59.61718139495237,0.3022275113736291,,0.38755020080321284,0.0,,498,13.611712340424136
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
