Architecture,N,Mean,SD,SE,95% CI Half-Width,CI Lower,CI Upper
Linear,3,0.19436666666666666,0.02653984425977918,0.015322786227634255,0.06592862798888098,0.1284380386777857,0.2602952946555476
Mlp,3,0.17883333333333332,0.00621154838452808,0.0035862391318916722,0.015430341590176826,0.16340299174315648,0.19426367492351015
Transformer,3,0.1859666666666667,0.005450076452063158,0.003146603106702705,0.013538740446324754,0.17242792622034195,0.19950540711299145
