Arch.,Seed,True SG,Oracle SG,Oracle Gap,Cosine
Linear,42,-0.019587628865979423,0.16030927835051556,0.17989690721649498,0.9410245460947764
Linear,43,-0.06443298969072175,0.16056701030927834,0.2250000000000001,0.9413791875249332
Linear,44,-0.017783505154639223,0.16056701030927834,0.17835051546391756,0.9408780925052682
Mlp,42,-0.025515463917525794,0.16056701030927834,0.18608247422680413,0.9466197389917276
Mlp,43,-0.01494845360824748,0.16056701030927834,0.17551546391752582,0.946807023852142
Mlp,44,-0.01443298969072171,0.16056701030927834,0.17500000000000004,0.9449836122620966
Trans.,42,-0.020618556701030966,0.16056701030927834,0.1811855670103093,0.9464115397831828
Trans.,43,-0.024226804123711365,0.16056701030927834,0.1847938144329897,0.9458684182658638
Trans.,44,-0.031443298969072164,0.16056701030927834,0.1920103092783505,0.9474564020166693
