depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,4.760268330574036,0.35856705605983735,0.4,0.15,0.7153846153846154,0.7576923076923077,0.35,0.45,,,5.446681714057922,0.28723630383610727,0.5,0.7115384615384616,0.35,,20,1.144196363695555
2,5.167408108711243,0.34885752350091936,0.4117647058823529,0.5882352941176471,0.7423076923076923,0.8230769230769232,0.25,0.65,,,5.61424069404602,0.24624466970562936,0.4117647058823529,0.7384615384615385,0.25,,20,1.0864713171350846
3,6.089606761932373,0.35194505663479075,0.16666666666666666,0.6666666666666666,0.751131221719457,0.8325791855203619,0.058823529411764705,0.058823529411764705,,,5.673072871039896,0.24148888798320994,0.3333333333333333,0.7149321266968326,0.0,,17,0.9315992136805396
4,7.515286286671956,0.3487296899159749,,,0.7692307692307693,0.8461538461538461,0.0,0.0,,,5.735038121541341,0.23732860138018927,,0.8076923076923078,0.0,,6,0.7631163874238815
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
