depth,code_match_accuracy,cosine_similarity,mse,operator_accuracy,teacher_operator_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,n_samples
1,0.353,0.9728982648849487,0.1546208958774805,0.328,0.337,0.349,0.349,0.3825,0.434,1000
2,0.304,0.9465346341133117,0.3146874246895313,0.3533026113671275,0.3563748079877112,0.316,0.316,0.33225,0.32825,1000
3,0.48540706605222733,0.9608634781727593,0.23030224932320473,0.31044776119402984,0.3164179104477612,0.5145929339477726,0.5145929339477726,0.35560675883256526,0.3049155145929339,651
4,0.9552238805970149,0.9963125463741929,0.02163870067738775,,,0.0,0.0,0.38283582089552237,0.3753731343283582,335
5,,,,,,,,,,0
6,,,,,,,,,,0
7,,,,,,,,,,0
8,,,,,,,,,,0
