depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,4.8010594844818115,0.3535108707845211,0.4,0.15,0.7346153846153847,0.7576923076923077,0.2,0.45,,,5.446681714057922,0.28723630383610727,0.5,0.7115384615384616,0.35,,20,1.1344749490529993
2,5.116099548339844,0.3472119942307472,0.47058823529411764,0.5882352941176471,0.7807692307692309,0.8230769230769232,0.05,0.65,,,5.61424069404602,0.24624466970562936,0.4117647058823529,0.7384615384615385,0.25,,20,1.097367367659572
3,5.980908534106086,0.34831679217955647,0.16666666666666666,0.6666666666666666,0.8009049773755655,0.8325791855203619,0.0,0.058823529411764705,,,5.673072871039896,0.24148888798320994,0.3333333333333333,0.7149321266968326,0.0,,17,0.9485302841013602
4,7.3302788734436035,0.34645629425843555,,,0.8076923076923078,0.8461538461538461,0.0,0.0,,,5.735038121541341,0.23732860138018927,,0.8076923076923078,0.0,,6,0.7823765262626559
5,,,,,,,,,,,,,,,,,0,
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
