code,entropy_nats,top1_successor_prob,top1_successor_code
12,1.3038152623588608,0.442225392296719,28
15,1.2423939890507498,0.5,28
19,1.2999716280996783,0.365,12
24,1.3062976311878975,0.4431818181818182,28
25,1.41553405325212,0.3669724770642202,24
28,0.8645415915325201,0.6551724137931034,28
