depth,mse,cosine_similarity,operator_accuracy,teacher_operator_accuracy,state_probe_accuracy,teacher_state_probe_accuracy,dist_probe_accuracy,teacher_dist_probe_accuracy,reach_probe_accuracy,teacher_reach_probe_accuracy,identity_mse,identity_cosine_similarity,identity_operator_accuracy,identity_state_probe_accuracy,identity_dist_probe_accuracy,identity_reach_probe_accuracy,n_samples,dynamics_gain
1,4.890261840820313,0.34168516397476195,0.35,0.45,0.7269230769230769,0.7576923076923077,0.05,0.0,,,5.568423962593078,0.2720899984240532,0.3,0.7076923076923076,0.05,,20,1.1386760349132978
2,5.448688006401062,0.31247783452272415,0.45,0.45,0.7384615384615385,0.7923076923076924,0.05,0.05,,,5.839201188087463,0.2155156686902046,0.4,0.7269230769230769,0.05,,20,1.0716710483748804
3,6.1951096534729,0.3399553939700127,0.4,0.3,0.7346153846153847,0.8346153846153846,0.9,0.15,,,5.700663423538208,0.23710524737834932,0.3,0.7307692307692307,0.9,,20,0.9201876548452194
4,7.859960460662842,0.3125404119491577,0.4,0.55,0.7384615384615385,0.8615384615384615,0.6,0.9,,,5.803190970420838,0.2201945848762989,0.35,0.75,0.0,,20,0.7383231759834382
5,9.713274383544922,0.3213836759328842,,,0.7346153846153846,0.8461538461538461,0.0,0.0,,,5.7545857429504395,0.23032009825110436,,0.7692307692307693,0.0,,20,0.5924455045457355
6,,,,,,,,,,,,,,,,,0,
7,,,,,,,,,,,,,,,,,0,
8,,,,,,,,,,,,,,,,,0,
